       value	     chindex	     chlabel	        bini	  binlabel	ERPset
      12.381	           2	        E104	         476	05_:_60306	
       5.061	           2	        E104	         477	05_:_60307	
      10.229	           2	        E104	         478	05_:_60308	
      14.805	           2	        E104	         479	05_:_60309	
      10.439	           2	        E104	         480	05_:_60310	
       9.453	           2	        E104	         481	05_:_60401	
       1.576	           2	        E104	         482	05_:_60402	
      12.964	           2	        E104	         483	05_:_60403	
      11.272	           2	        E104	         484	05_:_60404	
       4.146	           2	        E104	         485	05_:_60405	
       5.244	           2	        E104	         486	05_:_60406	
       6.760	           2	        E104	         487	05_:_60407	
       9.893	           2	        E104	         488	05_:_60408	
      21.174	           2	        E104	         489	05_:_60409	
      23.572	           2	        E104	         490	05_:_60410	
      12.233	           2	        E104	         491	05_:_60501	
       8.014	           2	        E104	         492	05_:_60502	
      15.943	           2	        E104	         493	05_:_60503	
      20.044	           2	        E104	         494	05_:_60504	
      25.353	           2	        E104	         495	05_:_60505	
      13.887	           2	        E104	         496	05_:_60506	
      18.254	           2	        E104	         497	05_:_60507	
      24.931	           2	        E104	         498	05_:_60508	
       9.686	           2	        E104	         499	05_:_60509	
      17.358	           2	        E104	         500	05_:_60510	
     -31.633	           2	        E104	         501	06_:_30101	
     -33.176	           2	        E104	         502	06_:_30102	
     -22.363	           2	        E104	         503	06_:_30103	
     -29.140	           2	        E104	         504	06_:_30104	
     -18.594	           2	        E104	         505	06_:_30105	
     -23.538	           2	        E104	         506	06_:_30106	
     -25.218	           2	        E104	         507	06_:_30107	
     -28.345	           2	        E104	         508	06_:_30108	
     -33.745	           2	        E104	         509	06_:_30109	
     -28.827	           2	        E104	         510	06_:_30110	
     -21.089	           2	        E104	         511	06_:_30201	
     -25.375	           2	        E104	         512	06_:_30202	
     -14.722	           2	        E104	         513	06_:_30203	
     -20.918	           2	        E104	         514	06_:_30204	
     -25.465	           2	        E104	         515	06_:_30205	
      -6.803	           2	        E104	         516	06_:_30206	
     -10.128	           2	        E104	         517	06_:_30207	
      -4.111	           2	        E104	         518	06_:_30208	
     -21.651	           2	        E104	         519	06_:_30209	
      -9.369	           2	        E104	         520	06_:_30210	
     -18.880	           2	        E104	         521	06_:_30301	
     -14.202	           2	        E104	         522	06_:_30302	
     -24.169	           2	        E104	         523	06_:_30303	
     -21.163	           2	        E104	         524	06_:_30304	
     -17.336	           2	        E104	         525	06_:_30305	
      -6.330	           2	        E104	         526	06_:_30306	
      -5.793	           2	        E104	         527	06_:_30307	
     -12.631	           2	        E104	         528	06_:_30308	
     -12.140	           2	        E104	         529	06_:_30309	
      -2.179	           2	        E104	         530	06_:_30310	
     -18.969	           2	        E104	         531	06_:_30401	
      -8.742	           2	        E104	         532	06_:_30402	
     -24.886	           2	        E104	         533	06_:_30403	
     -18.261	           2	        E104	         534	06_:_30404	
     -12.268	           2	        E104	         535	06_:_30405	
      -8.225	           2	        E104	         536	06_:_30406	
      -1.460	           2	        E104	         537	06_:_30407	
     -19.201	           2	        E104	         538	06_:_30408	
       6.164	           2	        E104	         539	06_:_30409	
      -4.028	           2	        E104	         540	06_:_30410	
     -16.750	           2	        E104	         541	06_:_30501	
     -13.102	           2	        E104	         542	06_:_30502	
     -10.988	           2	        E104	         543	06_:_30503	
     -14.831	           2	        E104	         544	06_:_30504	
     -14.440	           2	        E104	         545	06_:_30505	
     -11.935	           2	        E104	         546	06_:_30506	
       0.824	           2	        E104	         547	06_:_30507	
      -4.043	           2	        E104	         548	06_:_30508	
      -4.891	           2	        E104	         549	06_:_30509	
      -3.076	           2	        E104	         550	06_:_30510	
     -34.611	           2	        E104	         551	06_:_60101	
     -27.392	           2	        E104	         552	06_:_60102	
     -24.740	           2	        E104	         553	06_:_60103	
     -30.084	           2	        E104	         554	06_:_60104	
     -30.735	           2	        E104	         555	06_:_60105	
     -29.410	           2	        E104	         556	06_:_60106	
     -20.302	           2	        E104	         557	06_:_60107	
     -26.796	           2	        E104	         558	06_:_60108	
      -7.097	           2	        E104	         559	06_:_60109	
     -16.299	           2	        E104	         560	06_:_60110	
     -28.857	           2	        E104	         561	06_:_60201	
     -33.864	           2	        E104	         562	06_:_60202	
     -22.205	           2	        E104	         563	06_:_60203	
     -22.807	           2	        E104	         564	06_:_60204	
     -23.775	           2	        E104	         565	06_:_60205	
     -17.390	           2	        E104	         566	06_:_60206	
     -22.763	           2	        E104	         567	06_:_60207	
     -11.734	           2	        E104	         568	06_:_60208	
     -13.186	           2	        E104	         569	06_:_60209	
      -6.240	           2	        E104	         570	06_:_60210	
